File Name,Location,Application Name,Domains,Notes,Source
AnyDesk.exe,C:\ProgramData\AnyDesk\ ,AnyDesk,net.anydesk.com,,
,C:\Users\%Username%\Appdata\Roaming\AnyDesk\,AnyDesk,,,
TeamViewer_Desktop.exe,C:\Program Files\TeamViewer,TeamViewer,,,
TeamViewer_Note.exe,C:\Program Files\TeamViewer,TeamViewer,,,
TeamViewer.exe,C:\Program Files\TeamViewer,TeamViewer,,,Remote Desktop (Microsoft Store)
TeamViewer_Service.exe,C:\Program Files\TeamViewer,TeamViewer,,,Remote Desktop (Classic)
WriteDump.exe,C:\Program Files\TeamViewer,TeamViewer,,,SplashTop
G2PClientApp.exe,C:\Users\%Username%\Downloads,GoToMyPC,,,LogMeIn
G2PClient.exe,C:\Users\%Username%\Appdata\Local\GoToMyPClient,GoToMyPC,,,RealVNC
aweray_remote*.exe,,AweRay (AweSun),asapi.aweray.net,,TightVNC
AweSun.exe,,AweRay (AweSun),asapi-us.aweray.net,,
aa_v*.exe,,Ammyy Admin,ammyy.com,,
AeroAdmin,,AeroAdmin.exe,aeroadmin.com,,
AnyViewerSetup.exe,,AnyViewer,aomeisoftware.com,,
RCClient.exe,,AnyViewer,,,
RCService.exe,,AnyViewer,,,
atera_agent.exe,,Atera,,,
bomgar-scc.exe,,BeyondTrust (Bomgar),bomgarcloud.com,,
bomgar-rdp.exe,,BeyondTrust (Bomgar),,,
screenconnect.clientservice.exe,,ConnectWise Control,live.screenconnect.com,,
screenconnect.windowsclient.exe,,ConnectWise Control,,,
[unknown],,Chrome Remote Desktop,remotedesktop.google.com,,
distant-desktop.exe,,Distant Desktop,,,
dwagsvc.exe,,DW Service,,,
g2comm.exe,,GoToMyPC,,,
g2fileh.exe,,GoToMyPC,,,
g2host.exe,,GoToMyPC,,,
g2mainh.exe,,GoToMyPC,,,
g2printh.exe,,GoToMyPC,,,
g2svc.exe,,GoToMyPC,,,
g2tray.exe,,GoToMyPC,,,
gopcsrv.exe,,GoToMyPC,,,
ROMServer.exe,,LiteManager,,,
ROMFUSClient.exe,,LiteManager,,,
termsrv.exe,,Microsoft RDP (terminal services),,,
mstsc.exe,,Microsoft RDP (Classic),,,
RdClient.Windows.exe,,Microsoft RDP (App Store),,,
client32.exe,,NetSupport Manager,geo.netsupportsoftware.com,,
awrem32.exe,,PCAnywhere Client,,,
awhost32.exe,,PCAnywhere Server,,,
PCMonitorManager.exe,,Pulseway,,,
pcmonitorsrv.exe,,Pulseway,,,
radmin3.exe,,Radmin,,,
famitrfc.exe,,Radmin,,,
rserver3.exe,,Radmin,,,
rutserv.ex,,RemoteUtilities,remoteutilities.com,,
rutview.exe,,RemoteUtilities,,,
Remote Workforce Client.exe,,ScreenConnect,,,
RemoteWorkforceClientWpf.exe,,ScreenConnect,,,
strwinclt.exe,,Splashtop,,,
supremo.exe,,Supremo,,,
supremohelper.exe,,Supremo,,,
supremosystem.exe,,Supremo,,,
winvnc.exe,,VNC,,,
vncviewer.exe,,VNC,,,
winvncsc.exe,,VNC,,,
winwvc.exe,,VNC,,,
saazapsc.exe,,ITSupport247 (ConnectWise),itsupport247.net,,
lmiignition.exe,,LogMeIn,,,
lmiguardiansvc.exe,,LogMeIn,,,
logmein*.exe,,LogMeIn,logmeinrescue.com,,
UltraVNC*.exe,,UltraVNC,ultravnc.com,,
Zohours.exe,,Zoho Assist,assist.zoho.com,,
ZohoMeeting.exe,,Zoho Assist,,,
dcagentservice.exe,,Desktop Central,desktopcentral.manageengine.com,,
UltraViewer_Desktop.exe,,UltraView,ultraviewer.net,,
UltraViewer_setup*,,UltraView,,,
UltraViewer_Service.exe,,UltraView,,,
NinjaRMMAgent.exe,,NinjaRMM,resources.ninjarmm.com,,
NinjaRMMAgenPatcher.exe,,NinjaRMM,,,
ninjarmm-cli.exe,,NinjaRMM,,,
fleetdeck_agent.exe,,FleetDeck.io,fleetdeck.io,,
fleetdeck_agent_svc.exe,,FleetDeck.io,,,
fleetdeck_installer.exe,,FleetDeck.io,,,
fleetdeck_commander_svc.exe,,FleetDeck.io,,,
fleetdeck_commander_launcher.exe,,FleetDeck.io,,,
level-windows-amd64.exe,,Level.io,*.Level.io,,
level.exe,,Level.io,,,
level-remote-control-ffmpeg.exe,,Level.io,,,
FixMeit Expert Setup.exe,,FixMe,fixme.it,,
FixMeit Client.exe,,FixMe,,,
FixMeitClient*.exe,,FixMe,,,
TiExpertStandalone.exe,,FixMe,,,
TiExpertCore.exe,,FixMe,,,
FixMeit Unattended Access Setup.exe,,FixMe,,,
