IP Address,Port,Comment
51.178.39.184,,Cybercriminals target graphic designers with GPU miners 
85.28.129.209,,Trickbot C2
138.204.132.88,,Trickbot C2
194.37.80.211,,Mirai hardcoded hosts
34.71.140.211,,Mirai hardcoded hosts
45.142.107.88,,Mirai hardcoded hosts
34.22.219.78,,Mirai hardcoded hosts
116.203.65.69,,Mirai hardcoded hosts
193.149.176.90,,Cactus
46.246.97.33,,Cactus
91.193.18.120,,Turla
23.155.24.6,,VPN Brute Force Attacks
192.250.227.18,,VPN Brute Force Attacks
103.16.198.18,,VPN Brute Force Attacks
103.28.36.106,,VPN Brute Force Attacks
95.179.144.16,,VPN Brute Force Attacks
109.70.148.39,,VPN Brute Force Attacks
84.16.249.34,,VPN Brute Force Attacks
190.92.158.4,,VPN Brute Force Attacks
31.170.162.81,,VPN Brute Force Attacks
103.6.198.97,,VPN Brute Force Attacks
109.234.161.104,,VPN Brute Force Attacks
216.246.46.178,,VPN Brute Force Attacks
94.136.168.124,,VPN Brute Force Attacks
50.31.177.66,,VPN Brute Force Attacks
86.107.43.82,,VPN Brute Force Attacks
77.95.113.180,,VPN Brute Force Attacks
95.216.22.35,,VPN Brute Force Attacks
45.84.120.170,,VPN Brute Force Attacks
187.45.187.42,,VPN Brute Force Attacks
179.61.12.110,,VPN Brute Force Attacks
104.244.73.193,,VPN Brute Force Attacks
185.220.101.42,,VPN Brute Force Attacks
185.243.218.110,,VPN Brute Force Attacks
185.100.87.174,,VPN Brute Force Attacks
2.58.56.90,,VPN Brute Force Attacks
77.220.196.253,,VPN Brute Force Attacks
185.130.44.59,,VPN Brute Force Attacks
192.42.116.193,,VPN Brute Force Attacks
103.251.167.20,,VPN Brute Force Attacks
192.42.116.191,,VPN Brute Force Attacks
185.220.101.101,,VPN Brute Force Attacks
185.220.101.16,,VPN Brute Force Attacks
107.189.7.144,,VPN Brute Force Attacks
185.220.100.244,,VPN Brute Force Attacks
185.220.101.171,,VPN Brute Force Attacks
78.142.18.219,,VPN Brute Force Attacks
109.70.100.71,,VPN Brute Force Attacks
185.220.101.50,,VPN Brute Force Attacks
192.42.116.176,,VPN Brute Force Attacks
185.56.83.83,,VPN Brute Force Attacks
94.102.51.15,,VPN Brute Force Attacks
179.43.159.196,,VPN Brute Force Attacks
92.205.163.226,,VPN Brute Force Attacks
192.42.116.216,,VPN Brute Force Attacks
185.220.101.76,,VPN Brute Force Attacks
45.138.16.203,,VPN Brute Force Attacks
185.220.101.44,,VPN Brute Force Attacks
185.220.101.15,,VPN Brute Force Attacks
45.139.122.176,,VPN Brute Force Attacks
192.42.116.212,,VPN Brute Force Attacks
192.42.116.184,,VPN Brute Force Attacks
192.42.116.173,,VPN Brute Force Attacks
185.220.101.169,,VPN Brute Force Attacks
192.42.116.17,,VPN Brute Force Attacks
185.220.101.52,,VPN Brute Force Attacks
149.56.22.133,,VPN Brute Force Attacks
82.153.138.48,,VPN Brute Force Attacks
185.220.101.34,,VPN Brute Force Attacks
51.158.115.62,,VPN Brute Force Attacks
185.220.101.33,,VPN Brute Force Attacks
94.142.244.16,,VPN Brute Force Attacks
5.196.95.34,,VPN Brute Force Attacks
45.141.215.110,,VPN Brute Force Attacks
178.175.142.26,,VPN Brute Force Attacks
91.219.239.166,,VPN Brute Force Attacks
185.220.101.41,,VPN Brute Force Attacks
193.239.232.230,,VPN Brute Force Attacks
107.189.8.181,,VPN Brute Force Attacks
185.220.101.55,,VPN Brute Force Attacks
185.220.101.38,,VPN Brute Force Attacks
46.166.139.111,,VPN Brute Force Attacks
185.220.101.30,,VPN Brute Force Attacks
84.16.249.34,,VPN Brute Force Attacks
185.141.147.129,,VPN Brute Force Attacks
84.247.165.51,,VPN Brute Force Attacks
2.58.56.43,,VPN Brute Force Attacks
151.80.148.159,,VPN Brute Force Attacks
192.42.116.192,,VPN Brute Force Attacks
178.218.144.51,,VPN Brute Force Attacks
192.42.116.209,,VPN Brute Force Attacks
84.54.51.68,,VPN Brute Force Attacks
185.241.208.115,,VPN Brute Force Attacks
185.220.101.11,,VPN Brute Force Attacks
185.220.101.28,,VPN Brute Force Attacks
185.220.101.43,,VPN Brute Force Attacks
185.220.100.254,,VPN Brute Force Attacks
107.189.30.236,,VPN Brute Force Attacks
185.220.101.134,,VPN Brute Force Attacks
185.220.101.138,,VPN Brute Force Attacks
185.235.146.29,,VPN Brute Force Attacks
185.220.100.255,,VPN Brute Force Attacks
185.220.101.168,,VPN Brute Force Attacks
185.220.100.242,,VPN Brute Force Attacks
185.220.101.187,,VPN Brute Force Attacks
193.35.18.77,,VPN Brute Force Attacks
92.205.31.137,,VPN Brute Force Attacks
109.70.100.4,,VPN Brute Force Attacks
185.220.101.77,,VPN Brute Force Attacks
185.220.101.18,,VPN Brute Force Attacks
185.220.101.35,,VPN Brute Force Attacks
185.220.100.251,,VPN Brute Force Attacks
185.220.100.250,,VPN Brute Force Attacks
85.93.218.204,,VPN Brute Force Attacks
185.129.62.63,,VPN Brute Force Attacks
185.220.101.46,,VPN Brute Force Attacks
185.220.101.182,,VPN Brute Force Attacks
171.25.193.80,,VPN Brute Force Attacks
45.141.215.169,,VPN Brute Force Attacks
185.220.101.161,,VPN Brute Force Attacks
192.42.116.210,,VPN Brute Force Attacks
185.220.101.179,,VPN Brute Force Attacks
185.220.101.143,,VPN Brute Force Attacks
185.220.101.174,,VPN Brute Force Attacks
188.68.49.235,,VPN Brute Force Attacks
82.221.131.5,,VPN Brute Force Attacks
185.220.101.61,,VPN Brute Force Attacks
185.67.82.114,,VPN Brute Force Attacks
185.220.101.84,,VPN Brute Force Attacks
5.45.104.176,,VPN Brute Force Attacks
185.220.101.177,,VPN Brute Force Attacks
185.220.100.241,,VPN Brute Force Attacks
185.220.100.243,,VPN Brute Force Attacks
185.220.101.149,,VPN Brute Force Attacks
185.220.100.240,,VPN Brute Force Attacks
185.220.101.163,,VPN Brute Force Attacks
107.189.1.9,,VPN Brute Force Attacks
192.42.116.194,,VPN Brute Force Attacks
185.243.218.61,,VPN Brute Force Attacks
87.120.254.132,,VPN Brute Force Attacks
185.220.101.14,,VPN Brute Force Attacks
144.217.80.80,,VPN Brute Force Attacks
192.42.116.211,,VPN Brute Force Attacks
185.220.100.253,,VPN Brute Force Attacks
185.106.94.195,,VPN Brute Force Attacks
185.220.100.248,,VPN Brute Force Attacks
192.42.116.197,,VPN Brute Force Attacks
107.189.8.133,,VPN Brute Force Attacks
185.220.100.247,,VPN Brute Force Attacks
84.54.51.69,,VPN Brute Force Attacks
185.220.101.180,,VPN Brute Force Attacks
45.138.16.42,,VPN Brute Force Attacks
185.246.188.67,,VPN Brute Force Attacks
185.220.101.58,,VPN Brute Force Attacks
104.244.77.192,,VPN Brute Force Attacks
192.42.116.180,,VPN Brute Force Attacks
89.147.110.214,,VPN Brute Force Attacks
185.220.101.184,,VPN Brute Force Attacks
193.163.170.149,,VPN Brute Force Attacks
185.220.101.40,,VPN Brute Force Attacks
185.220.101.173,,VPN Brute Force Attacks
185.220.101.176,,VPN Brute Force Attacks
185.220.101.67,,VPN Brute Force Attacks
93.95.230.54,,VPN Brute Force Attacks
194.26.192.77,,VPN Brute Force Attacks
23.137.249.227,,VPN Brute Force Attacks
185.220.101.8,,VPN Brute Force Attacks
185.220.101.59,,VPN Brute Force Attacks
185.220.101.57,,VPN Brute Force Attacks
5.255.100.26,,VPN Brute Force Attacks
185.220.101.83,,VPN Brute Force Attacks
185.220.101.54,,VPN Brute Force Attacks
5.255.124.150,,VPN Brute Force Attacks
104.244.72.115,,VPN Brute Force Attacks
107.189.11.111,,VPN Brute Force Attacks
45.92.1.74,,VPN Brute Force Attacks
23.155.24.6,,VPN Brute Force Attacks
51.89.153.112,,VPN Brute Force Attacks
185.220.101.128,,VPN Brute Force Attacks
91.219.236.101,,VPN Brute Force Attacks
185.220.101.64,,VPN Brute Force Attacks
212.21.66.6,,VPN Brute Force Attacks
185.220.101.162,,VPN Brute Force Attacks
185.220.101.48,,VPN Brute Force Attacks
192.42.116.213,,VPN Brute Force Attacks
185.183.159.40,,VPN Brute Force Attacks
84.54.51.61,,VPN Brute Force Attacks
185.220.101.158,,VPN Brute Force Attacks
45.141.215.97,,VPN Brute Force Attacks
45.130.20.250,,VPN Brute Force Attacks
185.220.101.99,,VPN Brute Force Attacks
185.220.101.148,,VPN Brute Force Attacks
93.90.74.31,,VPN Brute Force Attacks
193.233.133.109,,VPN Brute Force Attacks
185.220.101.145,,VPN Brute Force Attacks
192.42.116.196,,VPN Brute Force Attacks
92.246.84.133,,VPN Brute Force Attacks
185.220.101.105,,VPN Brute Force Attacks
185.34.33.2,,VPN Brute Force Attacks
185.7.33.146,,VPN Brute Force Attacks
185.220.101.53,,VPN Brute Force Attacks
95.179.144.16,,VPN Brute Force Attacks
51.15.59.15,,VPN Brute Force Attacks
192.42.116.204,,VPN Brute Force Attacks
192.42.116.183,,VPN Brute Force Attacks
185.220.101.32,,VPN Brute Force Attacks
51.195.91.124,,VPN Brute Force Attacks
185.220.101.36,,VPN Brute Force Attacks
193.35.18.105,,VPN Brute Force Attacks
45.95.169.230,,VPN Brute Force Attacks
185.220.101.62,,VPN Brute Force Attacks
45.138.16.240,,VPN Brute Force Attacks
23.137.249.185,,VPN Brute Force Attacks
107.189.30.69,,VPN Brute Force Attacks
79.137.198.213,,VPN Brute Force Attacks
185.220.101.155,,VPN Brute Force Attacks
109.70.100.66,,VPN Brute Force Attacks
185.220.101.60,,VPN Brute Force Attacks
185.220.100.252,,VPN Brute Force Attacks
185.129.62.62,,VPN Brute Force Attacks
185.220.101.75,,VPN Brute Force Attacks
192.42.116.215,,VPN Brute Force Attacks
107.189.4.12,,VPN Brute Force Attacks
185.220.101.157,,VPN Brute Force Attacks
107.189.13.254,,VPN Brute Force Attacks
192.42.116.203,,VPN Brute Force Attacks
185.220.101.10,,VPN Brute Force Attacks
185.220.101.190,,VPN Brute Force Attacks
185.220.101.39,,VPN Brute Force Attacks
87.118.116.90,,VPN Brute Force Attacks
109.70.100.2,,VPN Brute Force Attacks
185.220.101.132,,VPN Brute Force Attacks
192.42.116.218,,VPN Brute Force Attacks
45.141.215.21,,VPN Brute Force Attacks
185.220.100.245,,VPN Brute Force Attacks
185.220.101.5,,VPN Brute Force Attacks
109.70.100.70,,VPN Brute Force Attacks
80.67.172.162,,VPN Brute Force Attacks
185.220.101.185,,VPN Brute Force Attacks
185.220.101.108,,VPN Brute Force Attacks
89.58.41.251,,VPN Brute Force Attacks
185.100.87.41,,VPN Brute Force Attacks
45.141.215.81,,VPN Brute Force Attacks
185.220.101.170,,VPN Brute Force Attacks
185.220.101.133,,VPN Brute Force Attacks
185.220.101.56,,VPN Brute Force Attacks
192.42.116.201,,VPN Brute Force Attacks
185.220.101.27,,VPN Brute Force Attacks
185.220.100.246,,VPN Brute Force Attacks
185.220.101.137,,VPN Brute Force Attacks
185.220.101.152,,VPN Brute Force Attacks
91.206.26.26,,VPN Brute Force Attacks
185.246.188.74,,VPN Brute Force Attacks
45.83.104.137,,VPN Brute Force Attacks
109.70.100.3,,VPN Brute Force Attacks
185.220.101.51,,VPN Brute Force Attacks
185.220.101.107,,VPN Brute Force Attacks
185.220.101.142,,VPN Brute Force Attacks
185.220.101.151,,VPN Brute Force Attacks
77.91.86.95,,VPN Brute Force Attacks
185.220.101.45,,VPN Brute Force Attacks
185.220.101.49,,VPN Brute Force Attacks
87.118.110.27,,VPN Brute Force Attacks
91.210.59.57,,VPN Brute Force Attacks
2.58.56.220,,VPN Brute Force Attacks
185.220.101.154,,VPN Brute Force Attacks
185.233.100.23,,VPN Brute Force Attacks
185.220.101.172,,VPN Brute Force Attacks
185.220.101.37,,VPN Brute Force Attacks
192.250.227.18,,VPN Brute Force Attacks
91.92.246.117,,TA866
85.192.49.106,,TA866
5.252.118.132,,TA866
31.41.244.142,,TA866
212.113.116.147,,TA866
176.124.217.20,,TA866
85.192.63.126,,TA866
79.137.197.187,,TA866
195.2.81.70,,TA866
79.98.104.4,,TA866
194.163.41.34,,TA866
89.208.105.255,,TA866
88.210.10.62,,TA866
94.103.83.46,,TA866
89.107.10.7,,TA866
46.151.24.226,,TA866
217.12.201.112,,TA866
66.23.226.254,,TA866
146.112.46.136,,TA866
46.151.28.18,,TA866
51.79.208.192,,CoralRaider
199.34.27.196,,CoralRaider
139.99.23.9,,CoralRaider
14.225.210.98,,CoralRaider
14.225.210.97,,CoralRaider
14.225.210.209,,CoralRaider
14.225.210.222,,CoralRaider
130.149.80.199,,VMWare Aria Vulnerability - Observed attacker IP
193.187.172.27,,VMWare Aria Vulnerability - Observed attacker IP
62.171.159.243,,VMWare Aria Vulnerability - Observed attacker IP
185.220.101.136,,VMWare Aria Vulnerability - Observed attacker IP
185.220.101.74,,VMWare Aria Vulnerability - Observed attacker IP
193.31.24.154,,VMWare Aria Vulnerability - Observed attacker IP
5.252.191.241,,Malicious IPs leveraging MOVEit Transfer vulnerability (CVE-2023-34362) or webshells
5.252.191.103,,Malicious IPs leveraging MOVEit Transfer vulnerability (CVE-2023-34362) or webshells
5.252.189.210,,Malicious IPs leveraging MOVEit Transfer vulnerability (CVE-2023-34362) or webshells
5.252.189.130,,Malicious IPs leveraging MOVEit Transfer vulnerability (CVE-2023-34362) or webshells
5.252.190.119,,Malicious IPs leveraging MOVEit Transfer vulnerability (CVE-2023-34362) or webshells
5.252.190.100,,Malicious IPs leveraging MOVEit Transfer vulnerability (CVE-2023-34362) or webshells
5.252.190.117,,Malicious IPs leveraging MOVEit Transfer vulnerability (CVE-2023-34362) or webshells
5.252.191.31,,Malicious IPs leveraging MOVEit Transfer vulnerability (CVE-2023-34362) or webshells
5.252.190.244,,Malicious IPs leveraging MOVEit Transfer vulnerability (CVE-2023-34362) or webshells
165.227.147.215,,Malicious IPs leveraging MOVEit Transfer vulnerability (CVE-2023-34362) or webshells
209.97.137.33,,Malicious IPs leveraging MOVEit Transfer vulnerability (CVE-2023-34362) or webshells
185.174.137.26,,Malicious IPs leveraging MOVEit Transfer vulnerability (CVE-2023-34362) or webshells
193.3.19.167,,Malicious IPs leveraging MOVEit Transfer vulnerability (CVE-2023-34362) or webshells
193.3.19.167,,Malicious IPs leveraging MOVEit Transfer vulnerability (CVE-2023-34362) or webshells
198.199.86.89,,Malicious IPs leveraging MOVEit Transfer vulnerability (CVE-2023-34362) or webshells
162.243.164.86,,Malicious IPs leveraging MOVEit Transfer vulnerability (CVE-2023-34362) or webshells
