SHA256,Comment
2413b5d0750c23b07999ec33a5b4930be224b661aaf290a0118db803f31acbc5,LemurLoot Webshell dropped from exploiting CVE-2023-34362 (MoveIT Transfer)
48367d94ccb4411f15d7ef9c455c92125f3ad812f2363c4d2e949ce1b615429a,LemurLoot Webshell dropped from exploiting CVE-2023-34362 (MoveIT Transfer)
6015fed13c5510bbb89b0a5302c8b95a5b811982ff6de9930725c4630ec4011d,LemurLoot Webshell dropped from exploiting CVE-2023-34362 (MoveIT Transfer)
702421bcee1785d93271d311f0203da34cc936317e299575b06503945a6ea1e0,LemurLoot Webshell dropped from exploiting CVE-2023-34362 (MoveIT Transfer)
9d1723777de67bc7e11678db800d2a32de3bcd6c40a629cd165e3f7bbace8ead,LemurLoot Webshell dropped from exploiting CVE-2023-34362 (MoveIT Transfer)
9e89d9f045664996067a05610ea2b0ad4f7f502f73d84321fb07861348fdc24a,LemurLoot Webshell dropped from exploiting CVE-2023-34362 (MoveIT Transfer)
b1c299a9fe6076f370178de7b808f36135df16c4e438ef6453a39565ff2ec272,LemurLoot Webshell dropped from exploiting CVE-2023-34362 (MoveIT Transfer)
d49cf23d83b2743c573ba383bf6f3c28da41ac5f745cde41ef8cd1344528c195,LemurLoot Webshell dropped from exploiting CVE-2023-34362 (MoveIT Transfer)
e8012a15b6f6b404a33f293205b602ece486d01337b8b3ec331cd99ccadb562e,LemurLoot Webshell dropped from exploiting CVE-2023-34362 (MoveIT Transfer)
83748e8d6f6765881f81c36efacad93c20f3296be3ff4a56f48c6aa2dcd3ac08,Cracktivator - AAct_x64.exe
fd7499214abaa13bf56d006ab7de78eb8d6adf17926c24ace024d067049bc81d,Cracktivator - KMSS.exe
36a16af682c2c6d6bc575d3442472e483ada21424bf9be1c72c2e7e27651d73f,Cracktivator - AUTORUN.exe
2218293e4442deb06e398aa0357aef54df377b95e46b6ed79b48b65b666c9405,Cracktivator - FakeClient.exe
6016b0304048df087c0d09e02072027cfa8757b4100ebb9d0f07b9ac99dc85b6,Cracktivator - KMSAuto.exe / Aact.exe
afdd09777f0699360fa95f154c68367d05129366a5d376d0463373da178a4ee1,Cracktivator - mKMSAct.exe
64def4f01bee099c0a95c240d00c1987b2309fd6513830322ae16874c7728714,Cracktivator - AUTORUN.exe (DarkCrystal dropper)
41de9ed75aeac48f5c1ca94e5ed64a27227286c93a8df541f35d729f1ec87418,Cracktivator - DarKCrystal RAT
f11310f075171f8502bcd32dcb2fe5894808b17a37f6fd960fb26653871e7b7d,IOCs associated with campaigns targeting Ukraine and Poland
6b310bd23806272f6c69b84a0381915f16d705e79ce423f19de940247543c76a,IOCs associated with campaigns targeting Ukraine and Poland
a7b7691baa21ad118348661a035b69605a6efd1cd1fa0fd52e5645c64f5f61e6,IOCs associated with campaigns targeting Ukraine and Poland
1a0e930fbdab2266e14dc501abdbb5623b5762d687df3670d86bb05f252509ac,IOCs associated with campaigns targeting Ukraine and Poland
0397c586fa56e672db7f14afa8c19992b6e08ab0c1d282c960df1af26371bd72,IOCs associated with campaigns targeting Ukraine and Poland
ce96fe99ebe30ae44e74c22c0b2a055005d0da131e0082a1c290ddeb79dd1114,IOCs associated with campaigns targeting Ukraine and Poland
5039d76e697f242c36c5a0ebf7dec127757bc34ddaf33c58251c2798da3ce03e,IOCs associated with campaigns targeting Ukraine and Poland
a58da0e6a20fed03364a0cbae18008eb4f8d6bee7c9f5e8ffcdac34fb823d363,IOCs associated with campaigns targeting Ukraine and Poland
7e35ce60d80c85e050133de142a3b261160259846c9c967c7b2bb84923328f8c,IOCs associated with campaigns targeting Ukraine and Poland
27a061daee3ec9cff928b8152159a472797821834a3aa7639749489b90f703c3,IOCs associated with campaigns targeting Ukraine and Poland
c7ec4570524ad59d5bd7a3e8f0d23c8cf05cc0e8a98dcdbec00c9dc075084558,IOCs associated with campaigns targeting Ukraine and Poland
aea76f905b0169e4289895a8d85980896f802fd18fe246a27d601310bfa5905e,IOCs associated with campaigns targeting Ukraine and Poland
7a9a5317a88afb53b44f6cfed59c48907f63aaa7ef63b1587f990951c423c211,IOCs associated with campaigns targeting Ukraine and Poland
0f189246247c51a701d5a88a06e1fc4932f333d24d7ff40dc8152ad6224f6ca4,IOCs associated with campaigns targeting Ukraine and Poland
